,amount_paid_usd,tags,country,title,artist,at,type,image
0,127,Fabric,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Hardcore Techno,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Electro,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Electronic,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Techno,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Autechre,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,House,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Mad 500 Series,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Ambient,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
0,127,Skam,United Kingdom,D​-​Breeze - Crazy For Love (Autechre Remix),D-Breeze,"01/04/2024, 16:31:01",track,https://f4.bcbits.com/img/a4270247509_7.jpg
1,152,Futuro,Germany,Rodriguez Jr. - Alraegadir,Rodriguez Jr.,"01/04/2024, 16:31:02",track,https://f4.bcbits.com/img/a2028563072_7.jpg
