,amount_paid_usd,tags,country,title,artist,at,type,image
0,100.0,"['80S', 'Synthwave', 'Retro', 'Dreamwave', 'Electronic', 'Synthpop']",United Kingdom,Vertical Drop,Stilz,"01/04/2024, 15:31:01",track,https://f4.bcbits.com/img/a1048254274_7.jpg
1,800.0,"[' Dark Ambient', 'Power Electronics', 'Electronic', 'Industrial', 'Drone', 'Experimental']",Sweden,Final Remains,Subklinik,"01/04/2024, 15:31:01",album,https://f4.bcbits.com/img/a0155182042_7.jpg
2,800.0,"[' Dark Ambient', 'Noise', 'Power Electronics', 'Dark Ambient', 'Electronic', 'Drone', 'Industrial', 'Heavy Electronics', 'Experimental']",Sweden,Like A Knife,Agonal Lust/Serration,"01/04/2024, 15:31:01",album,https://f4.bcbits.com/img/a0053526804_7.jpg
3,800.0,"[' Dark Ambient', 'Power Electronics', 'Electronic', 'Industrial', 'Drone', 'Experimental']",Sweden,Seven Memories​/​Human Meat,Himukalt & Subklinik,"01/04/2024, 15:31:01",album,https://f4.bcbits.com/img/a2973622404_7.jpg
4,800.0,"[' Dark Ambient', 'Power Electronics', 'Electronic', 'Industrial', 'Drone', 'Experimental']",Sweden,Spirit Breaking,XAL,"01/04/2024, 15:31:01",album,https://f4.bcbits.com/img/a0095636984_7.jpg
5,109.0,"['Electronica', 'Electronic']",Germany,Das Telefon sagt du,Andreas Dorau,"01/04/2024, 15:31:03",track,https://f4.bcbits.com/img/a0763398804_7.jpg
6,500.0,"['Raleigh', 'Punk']",United States,Konventio,Konventio,"01/04/2024, 15:31:04",album,https://f4.bcbits.com/img/a1937102350_7.jpg
7,700.0,"['Philly', 'Hardcore', 'Goth', 'Metal', 'Raleigh', 'Punk']",United States,Zorn,Zorn,"01/04/2024, 15:31:04",album,https://f4.bcbits.com/img/a3209273870_7.jpg
8,219.0,"['Dark Techno', 'Rimini', 'Italo Dance', 'Electronic', 'Tech House', 'House', ' House']",United Kingdom,Relax your body - 2004 Ricky Montanari Remix,Dr Feel X,"01/04/2024, 15:31:05",track,https://f4.bcbits.com/img/a0453659518_7.jpg
9,1014.0,"['Concept Album', 'Mysterious', 'Mystery Stories', 'Mystery', 'Progressive Rock', 'Rock', 'Reading']",Canada,Bumper Book of Mystery Stories,I Am The Manic Whale,"01/04/2024, 15:31:13",album,https://f4.bcbits.com/img/a0309750740_7.jpg
10,219.0,"['Techno', 'Acid', 'Electronic', 'Industrial']",France,DNNS - Uplift Yourself,"DNNS, INFEED, Leo Bufera, JGMZ, Onelas, CLASS-N, SIKOTI","01/04/2024, 15:31:15",track,https://f4.bcbits.com/img/a0257256293_7.jpg
11,219.0,"['Techno', 'Acid', 'Electronic', 'Industrial']",France,Somehting Real' Thick,.wav_909,"01/04/2024, 15:31:15",track,https://f4.bcbits.com/img/a1662395782_7.jpg
12,219.0,"['Techno', 'Acid', 'Electronic', 'Industrial']",France,Velocity,Axel Picodot,"01/04/2024, 15:31:15",track,https://f4.bcbits.com/img/a0219819829_7.jpg
13,127.0,['Experimental'],United States,HOSTILE,MB,"01/04/2024, 15:31:17",album,https://f4.bcbits.com/img/a2991689110_7.jpg
14,1000.0,"['Symphonic Metal', 'Symphonic Death Metal', 'Metal', 'Deathcore']",United Kingdom,Maleficium,Synestia,"01/04/2024, 15:31:19",album,https://f4.bcbits.com/img/a0879874473_7.jpg
15,766.0,"['Jazz', 'Arabic', 'Habibi Funk', 'Folk', 'World']",United States,Habibi Funk 016: Fine Anyway,Rogér Fakhr,"01/04/2024, 15:31:25",album,https://f4.bcbits.com/img/a2697031363_7.jpg
16,1095.0,"['Reggae', 'Arabic', 'Habibi Funk', 'Roots', 'Dancehall', 'World']",United States,Habibi Funk 024: The Father of Libyan Reggae,Ibrahim Hesnawi,"01/04/2024, 15:31:25",album,https://f4.bcbits.com/img/a2761907669_7.jpg
17,1314.0,"['Arabic', 'Habibi Funk', 'Singer Songwriter', 'Folk', 'World']",United States,Habibi Funk 025: East of Any Place,Rogér Fakhr,"01/04/2024, 15:31:25",album,https://f4.bcbits.com/img/a0205422707_7.jpg
18,164.0,"['Riddim', '100Bpm', '100', 'Dub', 'Electronic', 'Dancehall']",Germany,Dem Dice,phil in a maze,"01/04/2024, 15:31:27",track,https://f4.bcbits.com/img/a4177044067_7.jpg
19,200.0,"['Tropical House', 'Tzununa', 'Tribal House', 'Tropical', 'Afro House', 'Afrohouse', 'Organic House', 'Afrocolombian', 'Afro Latin', 'Marimba', 'Indigenous', 'Ecstatic Dance', 'World']",Israel,Mixwell & Yemanjo - Borojo,Mixwell,"01/04/2024, 15:31:31",track,https://f4.bcbits.com/img/a2838587563_7.jpg
20,108.0,['Electronic'],United States,Apprentice,Frank & Tony,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a0410692607_7.jpg
21,108.0,"['Electronic', 'Ambient']",United States,Conversation,Nadia Khan,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a3074465791_7.jpg
22,108.0,"['Jazz', 'Ambient', 'Classic', 'Electronic', 'House', 'S&T', 'Scissor & Thread']",United States,Living Lips (Kate Simko Remix),Francis Harris,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a1233365377_7.jpg
23,108.0,['Other'],United States,Every Inch Of You (Frank & Tony​’​s Breakaway Remix),Rosas Nievas,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2407475511_7.jpg
24,108.0,['Electronic'],United States,Harmonium,Frank & Tony,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2842915691_7.jpg
25,216.0,"['Electronic', 'Ambient']",United States,Myst,Villete,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a3576023538_7.jpg
26,108.0,"['Jazz', 'Ambient', 'Classic', 'Electronic', 'House']",United States,St. Catherine And The Calm,Francis Harris,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a3560137646_7.jpg
27,108.0,"['Ambient', 'Electronic', 'Experimental']",United States,Morning Breeze,Alex Albrecht pres. Melquíades,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2616897576_7.jpg
28,324.0,"[' Ambient', 'Electronica', 'Jazz', 'Electronic']",United States,Snow Storm,Sean La'Brooy,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a3190920646_7.jpg
29,108.0,['Electronic'],United States,Dream Vibration,Frank & Tony,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2347778297_7.jpg
30,216.0,['Electronic'],United States,Eastern Meantimes feat. Eliana Glass,Frank & Tony,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2247085626_7.jpg
31,108.0,['Other'],United States,Gable - Open Space,Gable,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a0598477817_7.jpg
32,108.0,['Electronic'],United States,This Time with DaRand Land,Frank & Tony,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a1243218876_7.jpg
33,108.0,"['Ambient', 'Electronic', 'S&T', 'Scissor & Thread', 'Villete']",United States,September,Villete,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a2350268295_7.jpg
34,108.0,"['House', 'Electronic']",United States,Beyond,JVXTA,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a0798659098_7.jpg
